ID,SAMPLE_NUM,BAT,TEMP,PH,DO,LATITUD,LONGITUD,COND,ORP,DATE
"SW1,1.0,39.0,45.18,7.14,120.7,0.0,0.0,1.2,0.205,""2021-06-11 14:03:12.438810"""
"SW1,2.0,39.0,45.33,7.37,120.5,0.0,0.0,1.2,-0.036,""2021-06-11 14:03:24.975872"""
"SW1,3.0,39.0,45.43,8.11,118.4,0.0,0.0,1.2,0.082,""2021-06-11 14:03:38.032925"""
"SW1,4.0,39.0,37.78,9.81,102.0,0.0,0.0,481.8,0.072,""2021-06-11 14:03:50.585801"""
"SW1,5.0,39.0,30.99,9.71,105.3,0.0,0.0,621.2,0.071,""2021-06-11 14:04:03.120685"""
"SW1,6.0,39.0,29.52,9.72,110.3,0.0,0.0,638.2,0.071,""2021-06-11 14:04:15.674074"""
"SW1,7.0,39.0,29.26,9.59,113.0,0.0,0.0,1446.9,0.074,""2021-06-11 14:04:28.709110"""
"SW1,8.0,39.0,29.1,9.59,111.8,0.0,0.0,1460.5,0.073,""2021-06-11 14:04:41.265938"""
"SW1,9.0,39.0,29.0,9.61,108.9,0.0,0.0,1472.2,0.073,""2021-06-11 14:04:53.819749"""
"SW1,10.0,39.0,28.95,9.66,109.4,0.0,0.0,1482.1,0.073,""2021-06-11 14:05:06.351915"""
"SW1,11.0,39.0,28.91,9.7,110.0,0.0,0.0,1491.7,0.073,""2021-06-11 14:05:19.407755"""
"SW1,12.0,39.0,28.86,9.72,109.4,0.0,0.0,1495.4,0.073,""2021-06-11 14:05:31.943467"""
"SW1,13.0,39.0,28.83,9.72,110.0,0.0,0.0,1499.9,0.073,""2021-06-11 14:05:44.499342"""
"SW1,14.0,39.0,28.83,9.71,108.5,0.0,0.0,1504.7,0.073,""2021-06-11 14:05:57.054687"""
"SW1,15.0,39.0,28.85,9.71,111.2,0.0,0.0,1506.1,0.073,""2021-06-11 14:06:10.094119"""
"SW1,16.0,39.0,28.89,9.68,110.7,0.0,0.0,1508.3,0.073,""2021-06-11 14:06:22.650883"""
"SW1,17.0,39.0,28.91,9.7,111.4,0.0,0.0,1513.5,0.073,""2021-06-11 14:06:35.185422"""
"SW1,18.0,39.0,28.89,9.71,112.5,0.0,0.0,1514.0,0.073,""2021-06-11 14:06:47.743022"""
"SW1,19.0,39.0,28.87,9.71,112.9,0.0,0.0,1518.2,0.073,""2021-06-11 14:07:00.802624"""
"SW1,20.0,39.0,28.88,9.71,113.7,0.0,0.0,1520.1,0.073,""2021-06-11 14:07:13.360746"""
"SW1,21.0,39.0,28.92,9.71,111.5,0.0,0.0,1519.3,0.073,""2021-06-11 14:07:25.916671"""
"SW1,22.0,39.0,28.93,9.71,109.5,0.0,0.0,1520.6,0.073,""2021-06-11 14:07:38.473429"""
"SW1,23.0,39.0,28.95,9.71,113.3,0.0,0.0,1520.7,0.073,""2021-06-11 14:07:51.512270"""
"SW1,24.0,39.0,28.95,9.72,112.5,0.0,0.0,1522.1,0.073,""2021-06-11 14:08:04.049478"""
"SW1,25.0,39.0,28.95,9.72,110.4,0.0,0.0,1523.2,0.073,""2021-06-11 14:08:16.587668"""
"SW1,26.0,39.0,28.98,9.72,110.3,0.0,0.0,1523.2,0.073,""2021-06-11 14:08:29.626729"""
"SW1,27.0,39.0,28.97,9.71,109.9,0.0,0.0,1523.6,0.073,""2021-06-11 14:08:42.164462"""
"SW1,28.0,39.0,28.98,9.72,110.1,0.0,0.0,1524.0,0.073,""2021-06-11 14:08:54.703870"""
"SW1,29.0,39.0,28.99,9.71,109.1,0.0,0.0,1526.4,0.073,""2021-06-11 14:09:07.240341"""
"SW1,30.0,39.0,28.99,9.72,109.9,0.0,0.0,1526.1,0.073,""2021-06-11 14:09:20.295582"""
"SW1,31.0,39.0,28.99,9.71,113.5,0.0,0.0,1525.2,0.073,""2021-06-11 14:09:32.852675"""
"SW1,32.0,39.0,28.99,9.73,112.4,0.0,0.0,1527.2,0.073,""2021-06-11 14:09:45.390747"""
"SW1,33.0,39.0,28.94,9.73,111.9,0.0,0.0,1528.2,0.073,""2021-06-11 14:09:57.945413"""
"SW1,34.0,39.0,28.92,9.72,112.0,0.0,0.0,1529.1,0.073,""2021-06-11 14:10:11.003880"""
"SW1,35.0,39.0,28.93,9.73,110.7,0.0,0.0,1529.6,0.073,""2021-06-11 14:10:23.557045"""
"SW1,36.0,39.0,28.97,9.73,110.9,0.0,0.0,1527.5,0.073,""2021-06-11 14:10:36.114468"""
"SW1,37.0,39.0,29.01,9.71,111.6,0.0,0.0,1526.9,0.073,""2021-06-11 14:10:49.153274"""
"SW1,38.0,39.0,29.02,9.7,114.8,0.0,0.0,1528.1,0.073,""2021-06-11 14:11:01.690283"""
"SW1,39.0,39.0,29.03,9.71,113.9,0.0,0.0,1527.9,0.073,""2021-06-11 14:11:14.226008"""
"SW1,40.0,39.0,29.03,9.7,114.6,0.0,0.0,1529.2,0.073,""2021-06-11 14:11:26.781443"""
"SW1,41.0,39.0,29.04,9.71,113.8,0.0,0.0,1530.7,0.073,""2021-06-11 14:11:39.839089"""
"SW1,42.0,39.0,29.05,9.71,113.0,0.0,0.0,1530.1,0.073,""2021-06-11 14:11:52.393769"""
"SW1,43.0,39.0,29.05,9.72,112.9,0.0,0.0,1529.9,0.073,""2021-06-11 14:12:04.933270"""
"SW1,44.0,39.0,29.04,9.72,113.6,0.0,0.0,1528.9,0.073,""2021-06-11 14:12:17.970085"""
"SW1,45.0,39.0,29.03,9.73,116.0,0.0,0.0,1531.2,0.073,""2021-06-11 14:12:30.524344"""
"SW1,46.0,39.0,29.03,9.73,115.6,0.0,0.0,1531.9,0.073,""2021-06-11 14:12:43.080172"""
"SW1,47.0,39.0,29.03,9.73,115.2,0.0,0.0,1531.8,0.073,""2021-06-11 14:12:55.633571"""
"SW1,48.0,39.0,29.03,9.74,114.7,0.0,0.0,1532.1,0.073,""2021-06-11 14:13:08.690196"""
"SW1,49.0,39.0,29.04,9.74,111.7,0.0,0.0,1531.3,0.073,""2021-06-11 14:13:21.247617"""
"SW1,50.0,39.0,29.05,9.74,110.3,0.0,0.0,1532.6,0.073,""2021-06-11 14:13:33.804794"""
"SW1,51.0,39.0,29.05,9.74,109.9,0.0,0.0,1532.4,0.073,""2021-06-11 14:13:46.342385"""
"SW1,52.0,39.0,29.05,9.74,110.4,0.0,0.0,1532.7,0.073,""2021-06-11 14:13:59.380055"""
"SW1,53.0,39.0,29.09,9.73,108.9,0.0,0.0,1531.9,0.073,""2021-06-11 14:14:11.917892"""
"SW1,54.0,39.0,29.11,9.73,108.0,0.0,0.0,1531.6,0.073,""2021-06-11 14:14:24.473309"""
"SW1,55.0,39.0,29.09,9.74,113.2,0.0,0.0,1529.7,0.073,""2021-06-11 14:14:37.025045"""
"SW1,56.0,39.0,29.06,9.74,113.5,0.0,0.0,1529.9,0.073,""2021-06-11 14:14:50.081431"""
"SW1,57.0,39.0,29.06,9.73,115.0,0.0,0.0,1530.3,0.073,""2021-06-11 14:15:02.635820"""
"SW1,58.0,39.0,29.07,9.72,113.7,0.0,0.0,1531.3,0.073,""2021-06-11 14:15:15.172987"""
"SW1,59.0,39.0,29.08,9.73,111.9,0.0,0.0,1532.8,0.073,""2021-06-11 14:15:28.209394"""
"SW1,60.0,39.0,29.07,9.73,111.4,0.0,0.0,1533.6,0.073,""2021-06-11 14:15:40.765266"""
"SW1,61.0,39.0,29.08,9.73,109.1,0.0,0.0,1532.5,0.073,""2021-06-11 14:15:53.822552"""
"SW1,62.0,39.0,29.09,9.74,107.9,0.0,0.0,1533.6,0.073,""2021-06-11 14:16:06.378396"""
"SW1,63.0,39.0,29.11,9.75,109.3,0.0,0.0,1528.4,0.073,""2021-06-11 14:16:22.422080"""
"SW1,64.0,39.0,29.1,9.73,112.4,0.0,0.0,1530.3,0.073,""2021-06-11 14:16:34.977429"""
"SW1,65.0,39.0,29.11,9.72,111.8,0.0,0.0,1529.1,0.073,""2021-06-11 14:16:48.011162"""
"SW1,66.0,39.0,29.14,9.72,111.2,0.0,0.0,1530.7,0.073,""2021-06-11 14:17:00.565322"""
"SW1,67.0,39.0,29.12,9.72,109.8,0.0,0.0,1530.5,0.073,""2021-06-11 14:17:13.120032"""
"SW1,68.0,39.0,29.16,9.72,109.4,0.0,0.0,1530.3,0.073,""2021-06-11 14:17:26.159391"""
"SW1,69.0,39.0,29.18,9.72,109.4,0.0,0.0,1532.5,0.073,""2021-06-11 14:17:38.697425"""
"SW1,70.0,39.0,29.21,9.73,108.7,0.0,0.0,1531.9,0.073,""2021-06-11 14:17:52.739208"""
"SW1,71.0,39.0,29.23,9.72,107.8,0.0,0.0,1532.7,0.073,""2021-06-11 14:18:05.795741"""
"SW1,72.0,39.0,29.25,9.72,106.8,0.0,0.0,1532.7,0.073,""2021-06-11 14:18:18.332877"""
"SW1,73.0,39.0,29.28,9.72,106.0,0.0,0.0,1532.9,0.073,""2021-06-11 14:18:30.869258"""
"SW1,74.0,39.0,29.28,9.72,108.0,0.0,0.0,1531.0,0.073,""2021-06-11 14:18:43.926374"""
"SW1,75.0,39.0,29.25,9.73,111.8,0.0,0.0,1531.4,0.073,""2021-06-11 14:18:56.483327"""
"SW1,76.0,39.0,29.23,9.73,114.9,0.0,0.0,1532.1,0.073,""2021-06-11 14:19:09.037747"""
"SW1,77.0,39.0,29.25,9.72,115.1,0.0,0.0,1531.2,0.073,""2021-06-11 14:19:22.074823"""
"SW1,81.0,39.0,29.26,9.79,114.4,0.0,0.0,1533.0,0.073,""2021-06-11 14:20:47.787915"""
"SW1,83.0,39.0,29.3,9.8,109.1,0.0,0.0,1534.0,0.073,""2021-06-11 14:21:38.403293"""
"SW1,84.0,39.0,29.29,9.81,110.2,0.0,0.0,1534.3,0.073,""2021-06-11 14:22:01.962354"""
"SW1,90.0,39.0,29.38,9.81,108.3,0.0,0.0,1535.5,0.073,""2021-06-11 14:24:00.729398"""
"SW1,90.0,39.0,29.38,9.81,108.3,0.0,0.0,1535.5,0.073,""2021-06-11 14:24:07.753080"""
"SW1,90.0,39.0,29.38,9.81,108.3,0.0,0.0,1535.5,0.073,""2021-06-11 14:24:12.793749"""
"SW1,91.0,39.0,29.39,9.83,108.5,0.0,0.0,1536.4,0.073,""2021-06-11 14:24:34.366103"""
"SW1,97.0,39.0,29.47,9.82,114.4,0.0,0.0,1531.4,0.073,""2021-06-11 14:26:34.142578"""
"SW1,98.0,39.0,29.47,9.8,115.9,0.0,0.0,1533.6,0.073,""2021-06-11 14:26:46.672033"""
"SW1,99.0,39.0,29.47,9.78,115.5,0.0,0.0,1532.6,0.073,""2021-06-11 14:26:59.229080"""
"SW1,100.0,39.0,29.45,9.77,112.8,0.0,0.0,1533.6,0.073,""2021-06-11 14:27:12.268613"""
"SW1,101.0,39.0,29.49,9.76,112.1,0.0,0.0,1532.7,0.073,""2021-06-11 14:27:24.810399"""
"SW1,102.0,39.0,29.51,9.75,112.8,0.0,0.0,1530.9,0.073,""2021-06-11 14:27:37.866115"""
"SW1,103.0,39.0,29.53,9.76,115.1,0.0,0.0,1532.7,0.073,""2021-06-11 14:27:52.426037"""
"SW1,104.0,39.0,29.55,9.74,114.5,0.0,0.0,1532.5,0.073,""2021-06-11 14:28:04.980662"""
"SW1,105.0,39.0,29.57,9.75,114.1,0.0,0.0,1533.5,0.073,""2021-06-11 14:28:17.519691"""
"SW1,106.0,39.0,29.56,9.74,113.4,0.0,0.0,1533.0,0.073,""2021-06-11 14:28:30.055733"""
"SW1,107.0,39.0,29.56,9.74,117.0,0.0,0.0,1533.5,0.073,""2021-06-11 14:28:43.111289"""
"SW1,108.0,39.0,29.58,9.74,113.2,0.0,0.0,1533.4,0.073,""2021-06-11 14:28:55.668848"""
"SW1,109.0,39.0,29.58,9.74,115.6,0.0,0.0,1533.6,0.073,""2021-06-11 14:29:08.225286"""
"SW1,110.0,39.0,29.57,9.74,113.2,0.0,0.0,1533.3,0.073,""2021-06-11 14:29:20.762542"""
"SW1,111.0,39.0,29.57,9.75,113.0,0.0,0.0,1545.1,0.073,""2021-06-11 14:29:33.797770"""
"SW1,112.0,39.0,29.52,9.7,120.9,0.0,0.0,1537.5,0.073,""2021-06-11 14:29:46.352982"""
"SW1,113.0,39.0,29.51,9.69,120.1,0.0,0.0,1537.2,0.073,""2021-06-11 14:29:58.907428"""
"SW1,114.0,39.0,29.51,9.69,117.4,0.0,0.0,1536.8,0.073,""2021-06-11 14:30:11.944426"""
"SW1,115.0,39.0,29.35,9.21,118.1,0.0,0.0,1.3,0.187,""2021-06-11 14:30:24.499489"""
"SW1,116.0,39.0,28.81,8.83,116.7,0.0,0.0,1.3,0.189,""2021-06-11 14:30:37.055823"""
"SW1,117.0,39.0,28.42,8.65,116.1,0.0,0.0,1.3,0.188,""2021-06-11 14:30:49.590187"""
"SW1,118.0,39.0,28.17,8.63,115.7,0.0,0.0,1.3,0.175,""2021-06-11 14:31:02.647680"""
"SW1,119.0,39.0,27.91,9.54,118.5,0.0,0.0,1274.6,0.175,""2021-06-11 14:31:15.203946"""
"SW1,120.0,39.0,29.03,9.55,123.9,0.0,0.0,1253.8,0.175,""2021-06-11 14:31:27.759675"""
"SW1,121.0,39.0,29.47,9.58,121.9,0.0,0.0,1249.0,0.175,""2021-06-11 14:31:40.294981"""
"SW1,122.0,39.0,29.58,9.61,119.0,0.0,0.0,1246.6,0.175,""2021-06-11 14:31:53.350840"""
"SW1,123.0,39.0,29.61,9.63,117.0,0.0,0.0,1245.4,0.175,""2021-06-11 14:32:05.906109"""
"SW1,124.0,39.0,29.61,9.64,116.5,0.0,0.0,1244.2,0.175,""2021-06-11 14:32:18.458103"""
"SW1,125.0,39.0,29.56,9.64,113.2,0.0,0.0,1243.3,0.175,""2021-06-11 14:32:31.011024"""
"SW1,126.0,39.0,29.56,9.65,113.1,0.0,0.0,1242.7,0.175,""2021-06-11 14:32:44.049067"""
"SW1,127.0,39.0,29.55,9.66,111.2,0.0,0.0,1242.6,0.175,""2021-06-11 14:32:56.583612"""
"SW1,128.0,39.0,29.55,9.66,111.5,0.0,0.0,1242.4,0.175,""2021-06-11 14:33:09.140907"""
"SW1,129.0,39.0,29.56,9.67,109.9,0.0,0.0,1242.1,0.175,""2021-06-11 14:33:21.697451"""
"SW1,130.0,39.0,29.56,9.67,110.0,0.0,0.0,1239.8,0.175,""2021-06-11 14:33:34.737304"""
"SW1,131.0,39.0,29.55,9.67,113.0,0.0,0.0,1241.1,0.175,""2021-06-11 14:33:47.293081"""
"SW1,132.0,39.0,29.56,9.68,111.8,0.0,0.0,1240.9,0.175,""2021-06-11 14:33:59.850150"""
"SW1,133.0,39.0,29.57,9.68,109.4,0.0,0.0,1240.9,0.175,""2021-06-11 14:34:12.404334"""
"SW1,134.0,39.0,29.57,9.68,110.1,0.0,0.0,1241.0,0.175,""2021-06-11 14:34:25.461636"""
"SW1,135.0,39.0,29.56,9.68,107.8,0.0,0.0,1240.1,0.175,""2021-06-11 14:34:37.992844"""
"SW1,136.0,39.0,29.56,9.68,106.3,0.0,0.0,1240.3,0.175,""2021-06-11 14:34:50.547803"""
"SW1,137.0,39.0,29.58,9.69,108.2,0.0,0.0,1239.5,0.175,""2021-06-11 14:35:03.604443"""
"SW1,138.0,39.0,29.59,9.68,108.7,0.0,0.0,1238.3,0.175,""2021-06-11 14:35:16.141974"""
"SW1,139.0,39.0,29.6,9.68,107.6,0.0,0.0,1238.3,0.175,""2021-06-11 14:35:28.700046"""
"SW1,140.0,39.0,29.59,9.69,111.7,0.0,0.0,1239.0,0.175,""2021-06-11 14:35:41.257483"""
"SW1,141.0,39.0,29.58,9.69,111.7,0.0,0.0,1239.7,0.175,""2021-06-11 14:35:54.311423"""
"SW1,142.0,39.0,29.6,9.69,109.2,0.0,0.0,1239.4,0.175,""2021-06-11 14:36:06.848031"""
"SW1,143.0,39.0,29.6,9.68,108.2,0.0,0.0,1239.3,0.175,""2021-06-11 14:36:19.405432"""
"SW1,144.0,39.0,29.59,9.68,108.4,0.0,0.0,1237.6,0.175,""2021-06-11 14:36:31.959087"""
"SW1,146.0,39.0,29.6,9.69,111.3,0.0,0.0,1240.2,0.175,""2021-06-11 14:36:57.542344"""
"SW1,147.0,39.0,29.6,9.69,110.1,0.0,0.0,1240.7,0.175,""2021-06-11 14:37:10.081287"""
"SW1,148.0,39.0,29.59,9.69,108.7,0.0,0.0,1240.7,0.175,""2021-06-11 14:37:22.618701"""
"SW1,149.0,39.0,29.59,9.69,106.9,0.0,0.0,1240.0,0.175,""2021-06-11 14:37:35.674948"""
"SW1,150.0,39.0,29.6,9.7,108.7,0.0,0.0,1239.4,0.175,""2021-06-11 14:37:48.231664"""
"SW1,151.0,39.0,29.6,9.7,111.2,0.0,0.0,1240.4,0.175,""2021-06-11 14:38:00.786682"""
"SW1,152.0,39.0,29.59,9.69,112.6,0.0,0.0,1239.9,0.175,""2021-06-11 14:38:13.325878"""
"SW1,153.0,39.0,29.58,9.69,110.4,0.0,0.0,1240.6,0.175,""2021-06-11 14:38:26.381886"""
"SW1,154.0,39.0,29.53,9.7,109.0,0.0,0.0,1239.7,0.175,""2021-06-11 14:38:38.935381"""
"SW1,155.0,39.0,29.52,9.7,107.1,0.0,0.0,1239.7,0.175,""2021-06-11 14:38:51.490913"""
"SW1,156.0,39.0,29.5,9.7,106.8,0.0,0.0,1239.8,0.175,""2021-06-11 14:39:04.046126"""
"SW1,157.0,39.0,29.59,9.7,111.3,0.0,0.0,1239.7,0.175,""2021-06-11 14:39:17.105629"""
"SW1,158.0,39.0,29.6,9.7,112.0,0.0,0.0,1240.9,0.175,""2021-06-11 14:39:29.663445"""
"SW1,159.0,39.0,29.62,9.7,109.4,0.0,0.0,1241.4,0.175,""2021-06-11 14:39:42.219876"""
"SW1,160.0,39.0,29.6,9.7,108.7,0.0,0.0,1240.2,0.175,""2021-06-11 14:39:54.777048"""
"SW1,161.0,39.0,29.61,9.7,114.0,0.0,0.0,1241.9,0.175,""2021-06-11 14:40:07.832230"""
"SW1,162.0,39.0,29.64,9.71,114.4,0.0,0.0,1240.3,0.175,""2021-06-11 14:40:20.369657"""
"SW1,163.0,39.0,29.63,9.71,115.9,0.0,0.0,1240.8,0.175,""2021-06-11 14:40:32.924228"""
"SW1,164.0,39.0,29.61,9.71,113.6,0.0,0.0,1242.9,0.175,""2021-06-11 14:40:45.481414"""
"SW1,165.0,39.0,29.61,9.7,113.8,0.0,0.0,1242.6,0.175,""2021-06-11 14:40:58.539907"""
